num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Cluster,status_type
106918,11780,1048,72526,276,3,1,1,0,4,video
30360,4,0,25220,0,0,0,0,0,0,photo
45914,5432,228,34279,63,1,1,0,0,0,video
22482,4,0,18678,0,0,0,0,0,0,photo
43086,4,0,34279,27,0,0,0,0,0,photo
43894,142,0,35453,15,1,0,0,0,0,photo
101666,14126,288,70178,210,10,2,0,3,0,video
59650,10423,212,43673,96,1,1,0,1,0,video
41066,27,0,33272,15,0,0,0,0,0,photo
34400,211,4,28072,9,0,0,0,0,0,photo
42480,50,12,33944,21,1,0,0,0,0,photo
44904,96,0,35789,15,4,0,0,0,0,photo
63286,96,8,51222,18,2,0,0,0,0,photo
42278,96,0,33608,24,1,0,0,0,0,photo
69952,257,0,56254,30,1,0,0,0,0,photo
67124,2304,120,50886,69,1,5,0,0,0,video
27330,5892,316,19685,54,0,0,0,0,0,video
30360,3983,188,22201,48,1,0,1,0,0,video
44702,3822,144,32266,84,0,1,0,0,0,video
30764,50,0,25053,9,0,0,0,0,0,photo
47328,349,4,37131,36,1,0,0,0,0,photo
45914,165,4,36460,21,2,1,0,0,0,photo
19856,4,0,16162,0,2,0,0,0,0,photo
3696,4,0,3078,0,0,0,0,0,0,video
20664,4,0,16833,0,2,0,0,0,0,photo
7534,4,4,6265,0,0,0,0,0,0,video
15210,832,56,11800,15,0,0,0,0,0,video
18240,1798,36,14317,15,0,0,0,0,0,video
29350,211,0,23208,21,0,0,0,0,0,photo
51166,6904,124,38473,66,1,1,0,0,0,video
17230,4,0,13646,6,2,0,0,0,0,photo
9150,326,0,6768,15,0,0,0,0,0,video
18644,4,0,14317,12,2,1,0,0,0,photo
25310,27,0,19517,24,1,0,0,0,0,photo
24098,96,0,19517,9,0,0,0,0,0,photo
59246,188,0,47196,33,1,0,0,0,0,photo
25916,3155,104,18510,48,2,0,0,0,0,video
17028,349,52,13142,15,1,0,0,0,0,photo
13392,257,24,10291,12,1,0,0,0,0,photo
34602,6720,112,25220,57,1,1,0,0,0,video
18240,1660,92,13310,30,1,0,0,0,0,video
28138,901,36,20356,48,1,1,0,0,0,video
47732,4167,84,33776,99,0,1,0,1,0,video
45510,4834,136,32434,90,0,2,0,0,0,video
55610,280,0,43673,33,4,0,0,0,0,photo
75204,10492,148,56086,93,1,1,1,4,0,video
89950,211,0,70345,69,3,0,0,0,0,photo
25916,1384,44,19182,39,0,0,0,1,0,video
37632,5409,184,27401,57,0,3,0,1,0,video
62478,10216,144,42666,126,2,8,3,0,0,video
15614,257,12,12639,6,0,0,0,0,0,photo
24098,1660,112,17336,48,0,0,0,0,0,video
20260,487,52,15994,15,0,0,0,0,0,photo
48540,5869,444,32434,132,1,1,0,1,0,video
33188,3132,192,24550,45,2,0,1,0,0,video
40864,7525,168,28743,90,1,0,0,0,0,video
42682,6536,184,31260,75,0,0,0,0,0,video
29956,2626,64,22872,30,0,2,0,0,0,video
19654,1867,64,14149,39,0,0,0,0,0,video
56418,6720,136,42666,60,3,1,1,0,0,video
53186,188,0,41157,42,4,0,0,0,0,photo
35814,4443,136,25388,75,1,0,0,0,0,video
104494,740,4,81249,78,7,0,0,0,0,photo
58438,5938,132,43002,99,0,0,0,0,0,video
13392,303,0,10962,3,0,0,0,0,0,photo
22684,142,0,17504,24,0,0,0,0,0,photo
41672,5961,192,30421,66,1,2,0,0,0,video
73184,10768,344,51222,168,0,0,1,0,0,video
37228,2994,204,27066,69,0,0,0,0,0,video
43692,5777,136,33440,48,0,0,0,1,0,video
11574,4,0,9452,3,0,0,0,0,0,video
55004,5938,172,37970,132,1,1,0,0,0,video
50156,5685,136,34950,99,3,2,0,2,0,video
26724,2051,160,18510,60,1,0,0,1,0,video
45712,7847,164,32937,90,0,0,0,0,0,video
7130,27,0,5929,0,0,0,0,0,0,video
44298,7272,144,28576,138,3,0,0,0,0,video
19048,27,4,15826,0,0,0,0,0,0,video
52378,8468,200,39312,75,0,0,0,0,0,video
12584,27,0,10458,0,0,0,0,0,0,video
25714,1752,84,19182,39,0,0,0,0,0,video
30158,1453,60,22536,45,0,0,0,0,0,video
27128,3937,164,19517,54,0,0,0,0,0,video
79244,10607,188,60448,96,0,0,0,0,0,video
62680,12424,164,47699,78,0,0,0,0,0,video
2888,73,0,2071,6,0,0,0,0,0,photo
59246,142,4,46189,45,3,0,0,0,0,photo
47732,280,0,37970,24,1,1,0,0,0,photo
63084,234,0,48873,54,3,0,0,0,0,photo
4908,280,0,4084,0,0,0,0,0,0,photo
3292,211,0,2574,3,0,0,0,0,0,link
6726,280,0,5426,3,0,0,0,0,0,photo
136410,234,0,108257,87,1,0,0,0,0,photo
148934,418,0,116980,93,9,0,0,0,0,photo
115604,372,0,92992,48,2,0,0,0,0,photo
4706,165,0,3413,9,0,0,0,0,0,photo
53792,579,0,41996,33,5,0,0,0,0,photo
76416,11780,120,58435,81,2,0,0,1,0,video
85102,16311,120,62629,135,2,0,1,0,0,video
301646,45521,3012,223669,417,9,3,8,1,1,video
15412,395,0,12807,0,0,0,0,0,0,photo
7332,257,0,5762,6,0,0,0,0,0,photo
3898,188,0,3078,0,0,1,0,0,0,photo
5514,234,0,4587,0,0,0,0,0,0,photo
23694,50,212,18175,27,0,0,0,0,0,photo
29552,27,0,24382,3,0,0,0,0,0,photo
33592,4,52,25388,21,0,0,8,0,0,photo
38440,4,124,28743,0,0,0,19,0,0,photo
43894,372,0,35789,12,0,0,0,0,0,photo
92576,326,0,75713,9,4,0,0,0,0,photo
111766,349,0,90308,36,3,0,0,0,0,photo
41066,418,44,31930,21,6,0,0,0,0,photo
203070,579,4,164285,48,9,1,0,0,0,photo
40864,3339,92,30588,57,0,0,0,1,0,video
86516,326,0,70345,12,5,0,0,0,0,photo
96818,395,0,77558,30,7,0,0,0,0,photo
42884,2672,44,33776,30,1,0,0,0,0,video
45510,3615,68,35453,42,0,0,0,0,0,video
34602,1062,20,26227,36,2,1,0,0,0,video
49954,2764,64,38976,42,1,0,0,0,0,video
54398,10423,156,40654,78,1,0,0,0,0,video
52176,11182,128,39479,69,0,0,0,0,0,video
22078,50,4,17504,15,0,0,0,0,0,photo
19654,119,0,16162,0,1,0,0,0,0,photo
56620,4581,100,42666,72,2,0,0,0,0,video
65710,1775,84,49209,90,1,1,0,0,0,video
10362,257,0,8613,0,0,0,0,0,0,photo
56620,18979,188,40821,105,1,1,0,0,0,video
139036,4,0,106076,102,0,0,22,0,0,video
